ref0,PID1,ADPID2,LQG3,Control
0,0.039546714,0.001066456,0.696412835,231
0,0.038725395,0.001051157,0.69647838,231
0,0.037912323,0.00103594,0.696543862,231
0,0.037107386,0.001020804,0.696609087,231
0,0.036310477,0.001005748,0.696674248,231
0,0.03552149,0.000990771,0.696739158,231
0,0.034740318,0.000975873,0.696804004,231
0,0.033966858,0.000961053,0.696868604,231
0,0.033201007,0.000946309,0.696933139,231
0,0.032804484,0.000938722,0.696997493,231
0,0.032411952,0.000931173,0.697061782,231
0,0.032023358,0.000923664,0.697125893,231
0,0.031638651,0.000916194,0.697189939,231
0,0.031257777,0.000908762,0.69725381,231
0,0.030880687,0.000901368,0.697317616,231
0,0.030507329,0.000894011,0.697381249,231
0,0.030137654,0.000886692,0.697444819,231
0,0.029771613,0.000879409,0.697508217,231
0,0.029409159,0.000872162,0.697571552,231
0,0.027093659,0.000826668,0.697634412,231
0,0.024800131,0.000781403,0.697697209,231
0,0.022528285,0.000736367,0.697759541,231
0,0.020277836,0.000691557,0.697821809,231
0,0.018048504,0.000646971,0.697883621,231
0,0.015840011,0.000602607,0.69794537,231
0,0.013652085,0.000558463,0.698006671,231
0,0.011484455,0.000514536,0.698067909,231
0,0.009336856,0.000470826,0.698128709,231
0,0.007209027,0.000427329,0.698189445,231
0,0.005227877,0.000386532,0.698249769,231
0,0.003264783,0.000345932,0.69831003,231
0,0.001319508,0.000305528,0.698369887,231
0,-0.000608179,0.000265317,0.698429681,231
0,-0.002518506,0.000225299,0.698489078,231
0,-0.0044117,0.00018547,0.698548411,231
0,-0.006287983,0.00014583,0.698607355,231
0,-0.008147574,0.000106377,0.698666236,231
0,-0.00999069,6.71E-05,0.698724734,231
0,-0.011817543,2.80E-05,0.698783169,231
0,-0.009993255,6.02E-05,0.698841737,231
0,-0.008187455,9.23E-05,0.698900243,231
0,-0.006399897,0.000124157,0.698958878,231
0,-0.004630339,0.000155843,0.69901745,231
0,-0.002878541,0.000187353,0.699076148,231
0,-0.001144266,0.000218689,0.699134783,231
0,0.000572719,0.000249853,0.69919354,231
0,0.002272643,0.000280845,0.699252235,231
0,0.003955734,0.000311668,0.699311048,231
0,0.005622214,0.000342324,0.699369798,231
0,0.005612829,0.000340343,0.699428442,231
0,0.005602946,0.000338363,0.699487023,231
0,0.005592571,0.000336384,0.699545498,231
0,0.005581713,0.000334406,0.699603911,231
0,0.005570381,0.000332429,0.69966222,231
0,0.005558581,0.000330453,0.699720466,231
0,0.005546322,0.000328479,0.699778609,231
0,0.005533611,0.000326506,0.699836688,231
0,0.005520456,0.000324534,0.699894666,231
0,0.005506865,0.000322563,0.69995258,231
0,0.004277294,0.000296809,0.700010238,231
0,0.003058782,0.000271177,0.700067834,231
0,0.001851185,0.000245667,0.700125177,231
0,0.000654361,0.000220277,0.700182457,231
0,-0.000531829,0.000195006,0.700239489,231
0,-0.001707523,0.000169853,0.700296457,231
0,-0.002872856,0.000144818,0.700353181,231
0,-0.004027964,0.000119898,0.700409841,231
0,-0.005172977,9.51E-05,0.70046626,231
