ref0,PID1,ADPID2,LQG3,Control
1,1.070322153,1.011588957,0.463649071,231
1,1.072492564,1.011623552,0.463687549,231
1,1.073136245,1.011628445,0.463726044,231
1,1.07377477,1.01163328,0.46376454,231
1,1.074408205,1.011638057,0.463803053,231
1,1.075036612,1.011642776,0.463841567,231
1,1.075660056,1.011647439,0.463880099,231
1,1.076278597,1.011652044,0.46391863,231
1,1.076892298,1.011656594,0.46395718,231
1,1.077501217,1.011661088,0.463995729,231
1,1.078105416,1.011665527,0.464034297,231
1,1.078704953,1.011669912,0.464072865,231
1,1.07774106,1.011643742,0.46411143,231
1,1.076787342,1.011617676,0.464149994,231
1,1.075843664,1.011591714,0.464188557,231
1,1.074909888,1.011565854,0.464227118,231
1,1.073985883,1.011540095,0.464265677,231
1,1.073071516,1.011514436,0.464304236,231
1,1.072166659,1.011488877,0.464342792,231
1,1.071271182,1.011463416,0.464381348,231
1,1.070384961,1.011438052,0.464419901,231
1,1.06950787,1.011412784,0.464458454,231
1,1.068844773,1.011391623,0.464497007,231
1,1.068188627,1.011370536,0.46453556,231
1,1.067539339,1.011349521,0.464574113,231
1,1.066896817,1.011328579,0.464612665,231
1,1.06626097,1.011307708,0.464651218,231
1,1.065631707,1.011286908,0.46468977,231
1,1.065008941,1.011266178,0.464728322,231
1,1.064392583,1.011245518,0.464766874,231
1,1.063782549,1.011224927,0.464805426,231
1,1.063178753,1.011204404,0.464843978,231
1,1.062721685,1.0111867,0.464882532,231
1,1.062269361,1.011169048,0.464921085,231
1,1.061821717,1.011151448,0.464959641,231
1,1.061378691,1.0111339,0.464998196,231
1,1.06094022,1.011116403,0.465036753,231
1,1.060506244,1.011098957,0.46507531,231
1,1.060076701,1.011081561,0.465113868,231
1,1.059651533,1.011064215,0.465152427,231
1,1.05923068,1.011046919,0.465190987,231
1,1.058814084,1.011029672,0.465229547,231
1,1.058320457,1.011010884,0.465268108,231
1,1.057831742,1.010992152,0.465306668,231
1,1.057347873,1.010973476,0.46534523,231
1,1.056868785,1.010954855,0.465383791,231
1,1.056394415,1.01093629,0.465422353,231
1,1.055924699,1.010917778,0.465460914,231
1,1.055459577,1.010899321,0.465499477,231
