Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
-0.273220048,-0.5547065,0.163199499,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.269466146,-0.551160461,0.168436861,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.265634538,-0.547536435,0.173621991,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.261726331,-0.543835526,0.178753399,-0.032344323,-0.000811095,9.561379322,-0.304099356,1
-0.257742651,-0.540058863,0.183829609,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.253684646,-0.536207593,0.188849162,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.249553488,-0.532282886,0.193810617,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.245350366,-0.528285934,0.198712547,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.241076494,-0.524217948,0.203553543,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.236733103,-0.52008016,0.208332215,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.232321446,-0.515873823,0.213047188,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.227842796,-0.511600209,0.21769711,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.223298443,-0.507260609,0.222280643,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.218689699,-0.502856333,0.226796471,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.214017892,-0.498388711,0.231243296,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.209284369,-0.493859088,0.235619841,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.204490496,-0.48926883,0.239924849,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.199637654,-0.484619319,0.244157084,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.194727244,-0.479911955,0.248315329,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.189760681,-0.475148152,0.252398392,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.184739397,-0.470329343,0.256405098,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.179664841,-0.465456977,0.260334298,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.174538475,-0.460532515,0.264184864,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.169361778,-0.455557436,0.26795569,0.075742643,0.345339761,9.365773798,-0.326544986,1
-0.164136243,-0.450533232,0.271645694,0.173694169,0.259829843,9.183947386,-0.338339358,1
-0.158863377,-0.445461411,0.275253817,0.173694169,0.259829843,9.183947386,-0.338339358,1
