Input,Case4_HGNoise,Case4_HPF(1),Case4_LPF(2),Case4_Kal(3),Case4_HPF_Kal(13),Case4_LPF_Kal(23),Case4_EKF(4),Control
0.043049784,-0.034787038,-0.287473036,-0.338451313,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.048941708,-0.111791995,-0.728897623,-0.339758731,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.05481952,-0.043631008,-0.208364779,-0.341771226,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.060681523,0.040545282,0.333245987,-0.341876818,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.066526028,0.133702839,0.869463253,-0.340340018,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.072351349,0.157244557,0.920647958,-0.337746867,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.078155806,0.113593803,0.562028746,-0.335535629,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.083937726,0.026316191,-0.03014788,-0.334387004,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.089695441,-0.02498387,-0.346090456,-0.334284781,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.095427291,0.040484443,0.095613231,-0.334261658,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.101131622,0.157677833,0.811055436,-0.332709737,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.106806791,0.206694254,1.025228498,-0.329508871,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.112451161,0.214651343,0.982490498,-0.326260515,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.118063103,0.124454173,0.328193012,-0.323390567,-0.061498276,0.156414031,-0.312210772,-0.453474952,23234
0.123640999,0.051057137,-0.159869854,-0.321818235,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.129183242,0.092999446,0.119104701,-0.320728895,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.134688233,0.174489203,0.602707548,-0.318339442,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.140154384,0.245468922,0.973884439,-0.31469134,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.145580119,0.189695862,0.514439234,-0.310563505,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.150963874,0.104153023,-0.065242454,-0.308037549,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.156304096,0.061728865,-0.306984537,-0.306950508,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.161599245,0.077188075,-0.175481951,-0.305914113,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.166847794,0.17506436,0.448613952,-0.303903391,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.17204823,0.262731906,0.93917642,-0.30013493,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.177199053,0.248981872,0.746528203,-0.29548633,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.182298778,0.175280682,0.214721329,-0.291823974,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.187345934,0.098751758,-0.273048335,-0.289620929,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.192339066,0.086863282,-0.313130143,-0.288188688,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.197276733,0.18588218,0.338848948,-0.286179348,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.202157513,0.28361433,0.903808344,-0.282179039,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.206979997,0.354601161,1.255387994,-0.276962239,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.211742795,0.298965958,0.781868601,-0.271334412,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.216444533,0.081810828,-0.673945585,-0.267064108,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.221083856,0.043867655,-0.833957475,-0.26612595,-0.005078056,-0.002128378,-0.317026668,-0.316588854,23234
0.225659426,0.140294875,-0.137810098,-0.265048079,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.230169924,0.240644515,0.493114197,-0.261834473,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.234614048,0.369597969,1.25473621,-0.257159251,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.238990517,0.336790623,0.920810479,-0.25106523,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.243298069,0.229529763,0.16145841,-0.246113266,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.247535463,0.168875868,-0.223776263,-0.242849352,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.251701475,0.170406249,-0.195504375,-0.239888848,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.255794906,0.265692104,0.411642844,-0.236247642,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.259814573,0.365594303,0.987749146,-0.231010885,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.263759319,0.358531459,0.838765915,-0.224757151,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.267628005,0.232282537,-0.039414536,-0.219333949,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.271419517,0.154043171,-0.513521543,-0.216141949,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.27513276,0.153831603,-0.457811523,-0.213667396,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.278766664,0.236746877,0.101281623,-0.210445627,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.282320181,0.370864396,0.927394425,-0.205616724,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.285792287,0.390381996,0.947946687,-0.199050458,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.289181979,0.360791657,0.678943612,-0.192932465,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.292488281,0.271462026,0.062378572,-0.18762731,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.29571024,0.221214158,-0.255798869,-0.183392095,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.298846925,0.28540565,0.168831065,-0.179218886,0.067654397,-0.070012159,-0.29102093,-0.159408821,23234
0.301897433,0.343903656,0.497291597,-0.173550776,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.304860884,0.388687511,0.717246317,-0.167238413,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.307736424,0.385603366,0.635664722,-0.160952339,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.310523222,0.2925285,-0.001031296,-0.15522101,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.313220476,0.205806371,-0.541497018,-0.15082306,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.315827408,0.246377955,-0.23225868,-0.147129955,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.318343266,0.328376338,0.291104256,-0.142169644,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.320767324,0.395064321,0.667458043,-0.135956313,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.323098883,0.381129244,0.511868228,-0.129341776,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.325337272,0.291916523,-0.090021103,-0.123615009,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.327481845,0.215089298,-0.551434268,-0.119375637,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.329531982,0.228989692,-0.404718836,-0.115761202,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.331487094,0.330181736,0.264894425,-0.111205205,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.333346616,0.413629475,0.748081261,-0.104849694,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.335110012,0.441479169,0.846130456,-0.097694659,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.336776773,0.363390317,0.277324,-0.090819286,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.338346419,0.225658903,-0.612425745,-0.085464271,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.339818498,0.211922857,-0.629408865,-0.081904026,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.341192584,0.329505577,0.175716732,-0.07780052,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.342468282,0.423194514,0.732286472,-0.071405586,0.20580087,0.213684577,-0.232276565,0.084667659,23234
0.343645223,0.477497793,0.994876718,-0.06387438,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.344723069,0.416868809,0.517159826,-0.056214029,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.345701508,0.291665242,-0.314582214,-0.049983996,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.346580259,0.251488957,-0.524749062,-0.045520449,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.347359067,0.320492275,-0.03698059,-0.040953555,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.348037709,0.417047592,0.560293486,-0.03472527,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.348615988,0.446605505,0.672625765,-0.027113043,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349093738,0.40834074,0.364267031,-0.019765084,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349470821,0.379467933,0.170927515,-0.01364226,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.349747128,0.316112716,-0.23180917,-0.007869714,0.341654702,0.60429609,-0.148072143,0.348557787,23234
0.34992258,0.307659424,-0.266665291,-0.002440995,0.341654702,0.60429609,-0.148072143,0.348557787,23234
