Input,Case2LGNoise,Case2HPF(1),Case2LPF(2),Case2Kal(3),Case2HPFKal(13),Case2LPFKal(23),Case2EKF(4),Control
-0.179638054,-0.190395428,0.011334925,-0.298586598,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.17451142,-0.146455283,0.293130387,-0.301415573,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.169334463,-0.140928468,0.297354857,-0.304151602,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.164108675,-0.164995386,0.109337209,-0.306793847,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.158835564,-0.159372438,0.132804144,-0.309341495,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.15351665,-0.146605861,0.200172051,-0.311793761,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.148153468,-0.140892863,0.214974153,-0.314149884,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.142747562,-0.173519684,-0.020220649,-0.316409128,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.137300493,-0.167722824,0.017462703,-0.318570786,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.131813832,-0.159391706,0.06773304,-0.320634176,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.126289159,-0.153517267,0.096967288,-0.322598642,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.120728069,-0.076296424,0.585618543,-0.324463557,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.115132165,-0.070350779,0.562734006,-0.326228317,-0.245310131,-0.8649386,-0.233958537,-0.242883233,13
-0.109503061,-0.096926044,0.331392639,-0.32789235,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.10384238,-0.090915649,0.334705344,-0.329455107,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.098151754,-0.108720919,0.183322442,-0.330916071,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.092432824,-0.102652306,0.202019315,-0.332274748,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.08668724,-0.095489086,0.225903924,-0.333530676,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.080916658,-0.08936885,0.240596628,-0.334683417,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.075122743,-0.03177797,0.587371633,-0.335732564,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.069307165,-0.02561277,0.565657914,-0.336677737,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.063471601,-0.048456046,0.35813705,-0.337518584,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.057617733,-0.04225259,0.359921548,-0.338254783,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.051747251,-0.018016936,0.478385978,-0.338886039,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.045861847,-0.011781978,0.468160767,-0.339412085,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.039963217,-0.009227268,0.435117033,-0.339832685,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.034053064,-0.002967597,0.429434563,-0.340147628,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.028133091,0.014671469,0.498075245,-0.340356736,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.022205005,0.020949035,0.486113427,-0.340459858,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.016270516,0.015983722,0.402498189,-0.34045687,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.010331335,0.022272344,0.400303525,-0.340347679,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
-0.004389174,-0.026518737,0.041358937,-0.340132222,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
0.001554251,-0.02022591,0.075839201,-0.339810462,-0.168073489,-0.242226227,-0.282852811,-0.194953471,13
0.007497229,0.04034447,0.458593207,-0.339382394,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.013438045,0.046634645,0.450715056,-0.338848038,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.019374985,0.076641826,0.597347524,-0.338207448,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.025306339,0.082922496,0.575329644,-0.337460702,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.031230395,0.076656777,0.474235394,-0.336607911,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.037145445,0.082921099,0.464610563,-0.335649212,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.043049784,-0.009048689,-0.180689288,-0.334584772,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.048941708,-0.002807538,-0.123993406,-0.333414787,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.05481952,0.069943422,0.358003556,-0.332139482,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.060681523,0.076154605,0.359847224,-0.33075911,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.066526028,0.080793768,0.351321307,-0.329273951,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.072351349,0.086968219,0.353617161,-0.327684318,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.078155806,0.1133897,0.486907924,-0.325990547,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.083937726,0.1195207,0.475176879,-0.324193008,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.089695441,0.099407125,0.294553253,-0.322292093,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.095427291,0.105488004,0.302034577,-0.320288228,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.101131622,0.12764147,0.412932246,-0.318181864,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.106806791,0.133665615,0.408051305,-0.315973479,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
0.112451161,0.190525824,0.733144453,-0.31366358,-0.062806268,0.1117419,-0.311404631,-0.135463246,13
