Sensor_A,Control
-0.134296,10
-0.119014,10
-0.103732,10
-0.08845,10
-0.0737318,10
-0.0590136,10
-0.0442954,10
-0.0295772,10
-0.014859,10
-0.0001408,10
0.0145774,10
0.0292956,10
0.0440138,10
0.058732,10
0.0497628,10
0.0407936,10
0.0318244,10
0.0228552,10
0.013886,10
0.0049168,10
-0.0040524,10
-0.0130216,10
-0.0219908,10
-0.03096,10
-0.0231985,10
-0.015437,10
-0.0076755,10
8.60E-05,10
0.0078475,10
0.015609,10
0.0233705,10
0.031132,10
0.0388935,10
0.046655,10
0.0429029,10
0.0391508,10
0.0353987,10
0.0316466,10
0.0278945,10
0.0241424,10
0.0203903,10
0.0166382,10
0.0128861,10
0.009134,10
0.0087314,10
0.0083288,10
0.0079262,10
0.0075236,10
0.007121,10
0.0067184,10
0.0063158,10
0.0059132,10
0.0055106,10
0.005108,10
0.0048664,10
0.0046248,10
0.0043832,10
0.0041416,10
0.0039,10
0.0036584,10
0.0034168,10
0.0031752,10
0.0029336,10
0.002692,10
0.0309213,10
0.0591506,10
0.0873799,10
0.1156092,10
0.1438385,10
0.1720678,10
0.2002971,10
0.2285264,10
0.2567557,10
0.284985,10
0.286547,10
0.288109,10
0.289671,10
0.291233,10
0.292795,10
0.294357,10
0.295919,10
0.297481,10
0.299043,10
0.300605,10
0.3123283,10
0.3240516,10
0.3357749,10
0.3474982,10
0.3592215,10
0.3709448,10
0.3826681,10
0.3943914,10
0.4061147,10
0.417838,10
0.3881272,10
0.3584164,10
0.3287056,10
0.2989948,10
0.269284,10
0.2395732,10
0.2098624,10
0.1801516,10
0.1504408,10
0.12073,10
0.12883,10
0.13693,10
0.14503,10
0.15313,10
0.16123,10
0.16933,10
0.17743,10
0.18553,10
0.19363,10
0.20173,10
0.1969956,10
0.1922612,10
0.1875268,10
0.1827924,10
0.178058,10
0.1733236,10
0.1685892,10
0.1638548,10
0.1591204,10
0.154386,10
0.1399413,10
0.1254966,10
0.1110519,10
0.0966072,10
0.0821625,10
0.0677178,10
0.0532731,10
0.0388284,10
0.0243837,10
0.009939,10
0.0443197,10
0.0787004,10
0.1130811,10
0.1474618,10
0.1818425,10
0.2162232,10
0.2506039,10
0.2849846,10
0.3193653,10
0.353746,10
0.3221834,10
0.2906208,10
0.2590582,10
0.2274956,10
0.195933,10
0.1643704,10
0.1328078,10
0.1012452,10
0.0696826,10
0.03812,10
0.0537886,10
0.0694572,10
0.0851258,10
0.1007944,10
0.116463,10
0.1321316,10
0.1478002,10
0.1634688,10
0.1791374,10
0.194806,10
0.1881392,10
0.1814724,10
0.1748056,10
0.1681388,10
0.161472,10
0.1548052,10
0.1481384,10
0.1414716,10
0.1348048,10
0.128138,10
0.1138062,10
0.0994744,10
0.0851426,10
0.0708108,10
0.056479,10
0.0421472,10
0.0278154,10
0.0134836,10
-0.0008482,10
-0.01518,10
0.007445,10
0.03007,10
0.052695,10
0.07532,10
0.097945,10
0.12057,10
0.143195,10
0.16582,10
0.188445,10
0.21107,10
0.181617,10
0.152164,10
0.122711,10
0.093258,10
0.063805,10
0.034352,10
0.004899,10
-0.024554,10
-0.054007,10
-0.08346,10
-0.07916,10
-0.07486,10
-0.07056,10
-0.06626,10
-0.06196,10
-0.05766,10
-0.05336,10
-0.04906,10
-0.04476,10
-0.04046,10
-0.039188,10
-0.037916,10
-0.036644,10
-0.035372,10
-0.0341,10
-0.032828,10
-0.031556,10
-0.030284,10
-0.029012,10
-0.02774,10
-0.027628,10
-0.027516,10
-0.027404,10
-0.027292,10
-0.02718,10
-0.027068,10
-0.026956,10
-0.026844,10
-0.026732,10
-0.02662,10
-0.024703,10
-0.022786,10
-0.020869,10
-0.018952,10
-0.017035,10
-0.015118,10
-0.013201,10
-0.011284,10
-0.009367,10
-0.00745,10
-0.0041169,10
-0.0007838,10
0.0025493,10
0.0058824,10
0.0092155,10
0.0125486,10
0.0158817,10
0.0192148,10
0.0225479,10
0.025881,10
0.0014519,10
-0.0229772,10
-0.0474063,10
-0.0718354,10
-0.0962645,10
-0.1206936,10
-0.1451227,10
-0.1695518,10
-0.1939809,10
-0.21841,10
-0.21915,10
-0.21989,10
-0.22063,10
-0.22137,10
-0.22211,10
-0.22285,10
-0.22359,10
-0.22433,10
-0.22507,10
-0.22581,10
-0.221591,10
-0.217372,10
-0.213153,10
-0.208934,10
-0.204715,10
-0.200496,10
-0.196277,10
-0.192058,10
-0.187839,10
-0.18362,10
-0.188677,10
-0.193734,10
-0.198791,10
-0.203848,10
-0.208905,10
-0.213962,10
-0.219019,10
-0.224076,10
-0.229133,10
-0.23419,10
-0.212676,10
-0.191162,10
-0.169648,10
-0.148134,10
-0.12662,10
-0.105106,10
-0.083592,10
-0.062078,10
-0.040564,10
-0.01905,10
-0.031465,10
-0.04388,10
-0.056295,10
-0.06871,10
-0.081125,10
-0.09354,10
-0.105955,10
-0.11837,10
-0.130785,10
-0.1432,10
-0.141187,10
-0.139174,10
-0.137161,10
-0.135148,10
-0.133135,10
-0.131122,10
-0.129109,10
-0.127096,10
-0.125083,10
-0.12307,10
-0.12146,10
-0.11985,10
-0.11824,10
-0.11663,10
-0.11502,10
-0.11341,10
-0.1118,10
-0.11019,10
-0.10858,10
-0.10697,10
-0.13631,10
-0.16565,10
-0.19499,10
-0.22433,10
-0.25367,10
-0.28301,10
-0.31235,10
-0.34169,10
-0.37103,10
-0.40037,10
-0.373204,10
-0.346038,10
-0.318872,10
-0.291706,10
-0.26454,10
-0.237374,10
-0.210208,10
-0.183042,10
-0.155876,10
-0.12871,10
-0.14082,10
-0.15293,10
-0.16504,10
-0.17715,10
-0.18926,10
-0.20137,10
-0.21348,10
-0.22559,10
-0.2377,10
-0.24981,10
-0.239858,10
-0.229906,10
-0.219954,10
-0.210002,10
-0.20005,10
-0.190098,10
-0.180146,10
-0.170194,10
-0.160242,10
-0.15029,10
-0.140564,10
-0.130838,10
-0.121112,10
-0.111386,10
