SensorA,Control
-0.275624,11
-0.284368,11
-0.293112,11
-0.301856,11
-0.3106,11
-0.319344,11
-0.328088,11
-0.336832,11
-0.345576,11
-0.35432,11
-0.328136,11
-0.301952,11
-0.275768,11
-0.249584,11
-0.2234,11
-0.197216,11
-0.171032,11
-0.144848,11
-0.118664,11
-0.09248,11
-0.116812,11
-0.141144,11
-0.165476,11
-0.189808,11
-0.21414,11
-0.238472,11
-0.262804,11
-0.287136,11
-0.311468,11
-0.3358,11
-0.310582,11
-0.285364,11
-0.260146,11
-0.234928,11
-0.20971,11
-0.184492,11
-0.159274,11
-0.134056,11
-0.108838,11
-0.08362,11
-0.091768,11
-0.099916,11
-0.108064,11
-0.116212,11
-0.12436,11
-0.132508,11
-0.140656,11
-0.148804,11
-0.156952,11
-0.1651,11
-0.1476122,11
-0.1301244,11
-0.1126366,11
-0.0951488,11
-0.077661,11
-0.0601732,11
-0.0426854,11
-0.0251976,11
-0.0077098,11
0.009778,11
0.0195849,11
0.0293918,11
0.0391987,11
0.0490056,11
0.0588125,11
0.0686194,11
0.0784263,11
0.0882332,11
0.0980401,11
0.107847,11
0.0964623,11
0.0850776,11
0.0736929,11
0.0623082,11
0.0509235,11
0.0395388,11
0.0281541,11
0.0167694,11
0.0053847,11
-0.006,11
-0.005952,11
-0.005904,11
-0.005856,11
-0.005808,11
-0.00576,11
-0.005712,11
-0.005664,11
-0.005616,11
-0.005568,11
-0.00552,11
-0.0043445,11
-0.003169,11
-0.0019935,11
-0.000818,11
0.0003575,11
0.001533,11
0.0027085,11
0.003884,11
0.0050595,11
0.006235,11
0.0049465,11
0.003658,11
0.0023695,11
0.001081,11
-0.0002075,11
-0.001496,11
-0.0027845,11
-0.004073,11
-0.0053615,11
-0.00665,11
-0.0036223,11
-0.0005946,11
0.0024331,11
0.0054608,11
0.0084885,11
0.0115162,11
0.0145439,11
0.0175716,11
0.0205993,11
0.023627,11
0.063644,11
0.103661,11
0.143678,11
0.183695,11
0.223712,11
0.263729,11
0.303746,11
0.343763,11
0.38378,11
0.423797,11
0.4033939,11
0.3829908,11
0.3625877,11
0.3421846,11
0.3217815,11
0.3013784,11
0.2809753,11
0.2605722,11
0.2401691,11
0.219766,11
0.2240012,11
0.2282364,11
0.2324716,11
0.2367068,11
0.240942,11
0.2451772,11
0.2494124,11
0.2536476,11
0.2578828,11
0.262118,11
0.25558,11
0.249042,11
0.242504,11
0.235966,11
0.229428,11
0.22289,11
0.216352,11
0.209814,11
0.203276,11
0.196738,11
0.1763512,11
0.1559644,11
0.1355776,11
0.1151908,11
0.094804,11
0.0744172,11
0.0540304,11
0.0336436,11
0.0132568,11
-0.00713,11
0.0216789,11
0.0504878,11
0.0792967,11
0.1081056,11
0.1369145,11
0.1657234,11
0.1945323,11
0.2233412,11
0.2521501,11
0.280959,11
0.2644047,11
0.2478504,11
0.2312961,11
0.2147418,11
0.1981875,11
0.1816332,11
0.1650789,11
0.1485246,11
0.1319703,11
0.115416,11
0.1294743,11
0.1435326,11
0.1575909,11
0.1716492,11
0.1857075,11
0.1997658,11
0.2138241,11
0.2278824,11
0.2419407,11
0.255999,11
0.2530842,11
0.2501694,11
0.2472546,11
0.2443398,11
0.241425,11
0.2385102,11
0.2355954,11
0.2326806,11
0.2297658,11
0.226851,11
0.2079618,11
0.1890726,11
0.1701834,11
0.1512942,11
0.132405,11
0.1135158,11
0.0946266,11
0.0757374,11
0.0568482,11
0.037959,11
0.0551735,11
0.072388,11
0.0896025,11
0.106817,11
0.1240315,11
0.141246,11
0.1584605,11
0.175675,11
0.1928895,11
0.210104,11
0.1942261,11
0.1783482,11
0.1624703,11
0.1465924,11
0.1307145,11
0.1148366,11
0.0989587,11
0.0830808,11
0.0672029,11
0.051325,11
0.0374435,11
0.023562,11
0.0096805,11
-0.004201,11
-0.0180825,11
-0.031964,11
-0.0458455,11
-0.059727,11
-0.0736085,11
-0.08749,11
-0.079937,11
-0.072384,11
-0.064831,11
-0.057278,11
-0.049725,11
-0.042172,11
-0.034619,11
-0.027066,11
-0.019513,11
-0.01196,11
-0.01903,11
-0.0261,11
-0.03317,11
-0.04024,11
-0.04731,11
-0.05438,11
