Input,LGNoise,HPF(1),LPF(2),Kal(3),HPFKal(13),LPFKal(23),EKF(4),Control
0.140154384,0.169171041,0.364911348,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.145580119,0.174945557,0.363368778,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.150963874,0.180678063,0.361724462,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.156304096,0.186367006,0.359979183,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.161599245,0.192010847,0.35813372,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.166847794,0.197608057,0.356188854,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.17204823,0.203157123,0.354145368,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.177199053,0.208656546,0.352004052,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.182298778,0.214104838,0.349765704,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.187345934,0.21950053,0.34743113,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.192339066,0.224842165,0.34500115,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.197276733,0.230128304,0.342476593,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.202157513,0.235357522,0.339858306,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.206979997,0.240528411,0.337147148,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.211742795,0.245639581,0.334343996,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.216444533,0.250689657,0.331449743,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.221083856,0.255677283,0.3284653,0.233935966,0.309224217,-0.310069648,-0.076045146,-0.076045146,1
0.225659426,0.260601122,0.325391595,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.230169924,0.265459853,0.322229576,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.234614048,0.270252176,0.31898021,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.238990517,0.274976808,0.315644484,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.243298069,0.279632488,0.312223403,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.247535463,0.284217972,0.308717995,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.251701475,0.288732038,0.305129305,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.255794906,0.293173486,0.3014584,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.259814573,0.297541133,0.297706369,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.263759319,0.30183382,0.293874317,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.267628005,0.306050411,0.289963374,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.271419517,0.310189787,0.285974688,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.27513276,0.314250857,0.281909427,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.278766664,0.318232549,0.27776878,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.282320181,0.322133814,0.273553956,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.285792287,0.325953628,0.269266184,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.289181979,0.329690988,0.264906712,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.292488281,0.333344918,0.260476807,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.29571024,0.336914463,0.255977757,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.298846925,0.340398694,0.251410866,0.279692711,0.228869842,-0.274276366,-0.015762645,-0.015762645,1
0.301897433,0.343796706,0.246777461,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.304860884,0.347107619,0.242078882,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.307736424,0.350330578,0.237316491,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.310523222,0.353464754,0.232491667,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.313220476,0.356509342,0.227605805,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.315827408,0.359463565,0.222660319,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.318343266,0.36232667,0.217656638,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.320767324,0.365097931,0.212596207,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.323098883,0.36777665,0.20748049,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.325337272,0.370362153,0.202310963,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.327481845,0.372853794,0.19708912,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.329531982,0.375250956,0.191816468,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.331487094,0.377553046,0.186494529,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.333346616,0.3797595,0.181124838,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.335110012,0.381869782,0.175708946,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.336776773,0.383883382,0.170248415,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.338346419,0.38579982,0.16474482,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.339818498,0.387618643,0.159199749,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.341192584,0.389339426,0.153614802,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.342468282,0.390961772,0.147991589,0.263232483,0.159661391,-0.204904551,0.041409108,0.041409108,1
0.343645223,0.392485314,0.142331731,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.344723069,0.39390971,0.136636862,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.345701508,0.395234651,0.130908623,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.346580259,0.396459854,0.125148666,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.347359067,0.397585065,0.119358651,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.348037709,0.398610059,0.113540249,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.348615988,0.39953464,0.107695136,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349093738,0.400358641,0.101824999,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349470821,0.401081923,0.095931528,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349747128,0.401704379,0.090016423,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.34992258,0.402225927,0.08408139,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349997127,0.402646517,0.078128139,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349970745,0.402966126,0.072158387,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349843444,0.403184763,0.066173853,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.34961526,0.403302464,0.060176264,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.349286259,0.403319293,0.054167348,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.348856535,0.403235346,0.048148838,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.348326212,0.403050747,0.042122467,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.347695444,0.402765646,0.036089973,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.346964412,0.402380227,0.030053095,0.202779717,0.280511926,-0.107501765,0.092164792,0.092164792,1
0.346133328,0.4018947,0.024013573,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.34520243,0.401309304,0.017973148,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.344171987,0.400624307,0.01193356,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.343042297,0.399840005,0.005896551,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.341813685,0.398956725,-0.00013614,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.340486505,0.397974821,-0.006162774,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.33906114,0.396894674,-0.012181613,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.337538002,0.395716695,-0.018190923,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.335917528,0.394441323,-0.024188973,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.334200188,0.393069026,-0.030174032,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.332386475,0.391600297,-0.036144378,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.330476913,0.390035661,-0.042098287,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.328472053,0.388375666,-0.048034046,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.326372473,0.386620891,-0.053949942,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.324178777,0.384771941,-0.059844272,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.321891599,0.382829448,-0.065715336,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.319511599,0.380794071,-0.071561442,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.317039462,0.378666497,-0.077380905,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.314475902,0.376447437,-0.083172049,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
0.311821657,0.374137631,-0.088933204,0.113395762,0.193158339,0.008864809,0.1336308,0.1336308,1
